OMEGA HEALTHCARE INVESTORS,US6819361006        ,540,33012,0.00%
ONE REIT INC,JP3047640002        ,0,1145,0.00%
ORIX JREIT INC,JP3040880001        ,5,8903,0.00%
OUE REAL ESTATE INVESTMENT TRUST,SG2G60000004        ,4277,1443,0.00%
PANDOX AB,SE0007100359        ,179,5016,0.00%
PARAGON REIT,SG2G02994595        ,2200,2292,0.00%
PARAMOUNT GROUP INC,US69924R1086        ,367,2927,0.00%
PARK HOTELS & RESORTS INC,US7005171050        ,417,9469,0.00%
PARKWAY LIFE REAL ESTATE INVESTMENT TRUST,SG1V52937132        ,777,3448,0.00%
PEACH PROPERTY GROUP AG,CH0118530366        ,71,1139,0.00%
PEBBLEBROOK HOTEL TRUST,US70509V1008        ,241,5265,0.00%
PEXA GROUP LTD PLC,AU0000158594        ,8246,107688,0.00%
PHILLIPS EDISON & CO INC,US71844V2016        ,246,14870,0.00%
PHOENIX MILLS LTD,INE211B01039        ,62967,1941011,0.02%
PICTON PROPERTY INCOME LTD,GB00B0LCW208        ,1142,1479,0.00%
PIEDMONT OFFICE REALTY TRUST-A,US7201902068        ,246,3632,0.00%
PLATZER FASTIGHETER HOLDING AB PUBL,SE0004977692        ,109,1369,0.00%
PRECINCT PROPERTIES NEW ZEALAND LIMITED,NZAPTE0001S3        ,2776,2964,0.00%
PRESTIGE ESTATES PROJECTS LTD,INE811K01011        ,2295,73356,0.00%
PRIMARIS REAL ESTA TR UNIT SER A,CA74167K1093        ,198,3443,0.00%
PRIMARY HLTH PROP ORD,GB00BYRJ5J14        ,11334,21390,0.00%
PROLOGIS INC COM,US74340W1036        ,4063,693582,0.01%
PROSPERITY REAL ESTATE INVESTMENT TRUST,HK0808032913        ,2365,610,0.00%
PRS REIT PLC,GB00BF01NH51        ,4376,9525,0.00%
PSP SWISS PROPERTY AG,CH0018294154        ,91,20940,0.00%
PUBLIC STORAGE,US74460D1090        ,709,343122,0.00%
REALTY INCOME CORPORATION,US7561091049        ,3937,339614,0.00%
REGENCY CENTERS CORPORATION,US7588491032        ,885,105642,0.00%
REGION GROUP FULLY PAID UNITS STAPLED SECURITIES,AU0000253502        ,143894,297861,0.00%
REGIONAL REIT LTD ORD NPV,GG00BSY2LD72        ,279,651,0.00%
RESIDENTIAL SECURE INCOME PLC,GB00BYSX1508        ,366,435,0.00%
RETAIL ESTATES NV,BE0003720340        ,25,2464,0.00%
RETAIL OPPORTUNITY INVESTMENT,US76131N1019        ,252,7071,0.00%
REXFORD INDUSTRIAL REALTY INC,US76169C1009        ,437,27313,0.00%
RIOCAN REAL ESTATE INVESTMENT TRUST,CA7669101031        ,601,12329,0.00%
RLJ LODGING TRUST ORD,US74965L1017        ,304,5007,0.00%
RYMAN HOSPITALITY PROPERTIES INC,US78377T1079        ,118,19809,0.00%
SABRA HEALTHCARE REIT INC,US78573L1061        ,461,12899,0.00%
SAFEHOLD INC COM USD0.01,US78646V1070        ,103,3083,0.00%
SAFESTORE HOLDINGS PLC,GB00B1N7Z094        ,1754,22850,0.00%
SAGAX AB,SE0005127818        ,708,23405,0.00%
SAMHALLSBYGGNADSBOLAGET I NORDEN AB,SE0009554454        ,2323,1538,0.00%
SAMTY RESIDENTIAL INVESTMENT CORP,JP3047960004        ,1,837,0.00%
SANKEI REAL ESTATE INC,JP3048880003        ,1,701,0.00%
SAVILLS PLC,GB00B135BJ46        ,858,17976,0.00%
SBA COMMUNICATIONS CORP,US78410G1040        ,297,97805,0.00%
SCENTRE GROUP,AU000000SCG8        ,3971519,13622312,0.17%
SCHRODER REAL ESTATE INVESTMENT TRUST LTD,GB00B01HM147        ,1058,1088,0.00%
SEGRO PLC,GB00B5ZN1N88        ,4820,68359,0.00%
SEKISUI HOUSE REIT INC,JP3047820000        ,8,6610,0.00%
SHAFTESBURY CAPITAL PLC,GB00B62G9D36        ,12835,32583,0.00%
SHINHAN ALPHA REIT ORD SHS,KR7293940003        ,203,1253,0.00%
SHURGARD SELF STORAGE EUROPE SARL,GG00BQZCBZ44        ,63,3760,0.00%
SILA REALTY TRUST INC,US1462805086        ,115,4505,0.00%
SIMON PROPERTY GROUP INC USD,US8288061091        ,1434,398986,0.00%
SINO LAND CO LTD HKG,HK0083000502        ,4830,7883,0.00%
SIRIUS REAL ESTATE LTD,GG00B1W3VF54        ,12937,20543,0.00%
SITE CENTERS CORP COM USD 0.10 POST REV SPLIT,US82981J8514        ,95,2335,0.00%
SK REIT CO LTD,KR7395400005        ,385,1869,0.00%
SL GREEN RLTY CORP COM,US78440X8873        ,140,15360,0.00%
SMARTCENTRES REAL VARIABLE VTG UNITS,CA83179X1087        ,260,7141,0.00%
SOSILA LOGISTICS REIT INC,JP3048960003        ,1,1607,0.00%
STAG INDUSTRIAL INC,US85254J1025        ,365,19924,0.00%
STANDARD LIFE INVESTMENT PROPERTY INCOME TRUST PLC,GB0033875286        ,856,119,0.00%
STAR ASIA INVESTME REIT,JP3048200004        ,4,2369,0.00%
STARHILL GLOBAL REIT,SG1S18926810        ,2846,1685,0.00%
STARTS PROCEED INVESTMENT CORP,JP3046340000        ,1,942,0.00%
STOCKLAND,AU000000SGP0        ,1009985,4847930,0.06%
STONEWEG EUROPEAN REAL ESTATE,SGXC37098255        ,644,1702,0.00%
STORAGEVAULT CANADA ORD SHS,CA86212H1055        ,472,2090,0.00%
STRIDE STAPLED GRP NPV UNITS,NZSPGE0001S2        ,1203,1426,0.00%
SUMITOMO REALTY & DEVELOPMENT CO,JP3409000001        ,538,27322,0.00%
SUMMIT HOTEL PROPERTIES INC,US8660821005        ,219,2428,0.00%
SUN COMMUNITIES INC,US8666741041        ,413,81986,0.00%
SUN HUNG KAI PROPERTY HKD,HK0016000132        ,2637,40937,0.00%
SUNAC CHINA HLDGS,KYG8569A1067        ,5009,2416,0.00%
SUNLIGHT REAL ESTATE INVEST,HK0435036626        ,2173,840,0.00%
SUNSTONE HOTEL INVESTORS INC REITS,US8678921011        ,405,7738,0.00%
SUNTEC REIT,SG1Q52922370        ,4309,5968,0.00%
SUPERMARKET INCOME REIT PLC,GB00BF345X11        ,9981,13749,0.00%
SWIRE PROPERTIES L HKD1,HK0000063609        ,196382,645961,0.01%
SWISS PRIME SITE AG,CH0008038389        ,97,17021,0.00%
TAG TEGERNSEE IMMOBILIEN- UND BETRILIGUNGS AG,DE0008303504        ,304,7303,0.00%
TAKARA LEBEN REAL ESTATE INVESTMENT CORP,JP3048750008        ,2,1474,0.00%
TANGER INC,US8754651060        ,214,11820,0.00%
TARGET HLTHCARE RE ORD,GB00BJGTLF51        ,5099,8664,0.00%
TECOM GROUP PJSC,AEE01081T004        ,49047,67936,0.00%
TERRENO REALTY COR COM,US88146M1018        ,190,18169,0.00%
THE LINK REAL ESTATE INVESTMENT TRUST,HK0823032773        ,8524,58221,0.00%
TOKYU REIT INC,JP3044510000        ,2,3042,0.00%
TOMRA SYSTEMS ASA,BE0974409410        ,19,551,0.00%
TRIPLE POINT SOCIAL HOUSING REIT PLC,GB00BF0P7H59        ,728,874,0.00%
TRITAX BIG BOX REIT PLC,GB00BG49KP99        ,19592,52588,0.00%
UDR INC,US9026531049        ,1591,111531,0.00%
UMH PROPERTIES INC,US9030021037        ,129,3932,0.00%
UNIBAIL RODAMCO WESTFIELD,FR0013326246        ,363,44188,0.00%
UNIBAIL-RODAMCO-WESTFIELD CHESS DEPOSITARY INTERESTS 20:1 DE,AU0000009771        ,33476,201528,0.00%
UNITE GROUP PLC,GB0006928617        ,816,13319,0.00%
UNITED URBAN INVESTMENT CORP,JP3045540006        ,6,8566,0.00%
URBAN EDGE PPTYS COM USD,US91704F1049        ,248,8609,0.00%
URBAN LOGISTICS REIT PLC,GB00BYV8MN78        ,3908,8096,0.00%
VENTAS INC,US92276F1003        ,1963,186728,0.00%
VERIS RESIDENTIAL INC,US5544891048        ,157,4229,0.00%
VICI PROPERTIES INC,US9256521090        ,4827,227732,0.00%
VICINITY CENTRES ORDINARY UNITS FULLY PAID,AU000000VCX7        ,1525737,3204048,0.04%
VONOVIA SE NPV SUBS RTS DIV CASH,DE000A1ML7J1        ,2389,117127,0.00%
VORNADO REALTY TRUST,US9290421091        ,353,23993,0.00%
W P CAREY INC,US92936U1097        ,724,63675,0.00%
WALLENSTAM SER B NPV,SE0017780133        ,667,4658,0.00%
WAREHOUSE REIT PLC,GB00BD2NCM38        ,783,1245,0.00%
WAREHOUSES DE PAUWNPV,BE0974349814        ,564,17913,0.00%
WASHINGTON REAL ESTATE INVESTMENT TRUST,US9396531017        ,175,4322,0.00%
WAYPOINT REIT FULLY PAID ORDINARY UNITS STAPLED SECURITIES,AU0000088064        ,73814,171986,0.00%
WELLTOWER INC,US95040Q1040        ,12319,2507474,0.03%
WERELDHAVE NV,NL0000289213        ,70,1610,0.00%
WEYERHAEUSER CO USD,US9621661043        ,1991,90540,0.00%
WHARF HOLDINGS LTD HKD,HK0004000045        ,1035,4702,0.00%
WHARF REAL ESTATE HKD,KYG9593A1040        ,8390,34645,0.00%
WIHLBORGS FAST. AB NPV,SE0018012635        ,533,8159,0.00%
WORKSPACE GROUP ORD,GB00B67G5X01        ,1185,11774,0.00%
XENIA HOTELS AND RESORTS INC,US9840171030        ,203,4873,0.00%
XIOR STUDENT HOUSING NV,BE0974288202        ,76,3775,0.00%
ZILLOW GROUP INC,US98954M2008        ,200,23931,0.00%
TOTAL,,,121323161,1.47%
UNLISTED PROPERTY,,,,
Held directly or by associated entities or by PSTs,,,,
Internally Managed,,,,
Name/kind of investment item,ADDRESS,% OF PROPERTY HELD,VALUE (AUD),WEIGHTING (%)
CLEARBELL CAPITAL II LLP,,8.50%,,
CLEARBELL CAPITAL III LLP,,7.80%,,
DEER PARK INDUSTRIAL TRUST,,100.00%,,
DEXUS WHOLESALE PROPERTY FUND,,1.30%,,
DEXUS WHOLESALE SHOPPING CENTRE FUND,,3.50%,,
UNSW HEALTH TRANSLATION HUB,,33.30%,,
QIC AUSTRALIA CORE PLUS FUND,,19.80%,,
REAL ESTATE CAPITAL ASIA PARTNERS IV LP,,3.20%,,
REAL ESTATE CAPITAL ASIA PARTNERS V LP,,4.20%,,
VASTNED RETAIL NV,,,,
TOTAL,,,78843878,0.96%
UNLISTED PROPERTY,,,,
Investment in non associate entities,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,VALUE (AUD),WEIGHTING (%)
MIRVAC FUNDS MANAGEMENT AUSTRALIA LIMITED,,,40289674,0.49%
DEXUS CAPITAL INVESTORS LIMITED,,,390524815,4.74%
GOODMAN AUSTRALIA INDUSTRIAL PARTNERS,,,42850471,0.52%
THE GPT GROUP,,,53297967,0.64%
ISPT,,,99590566,1.21%
LENDLEASE,,,27634854,0.34%
TOTAL,,,654188347,7.94%
LISTED INFRASTRUCTURE,,,,
Name /kind of investment item,SECURITY IDENTIFIER,UNITS HELD,VALUE (AUD),WEIGHTING (%)
ACADIA HEALTHCARE COMPANY INC,US00404A1097        ,1545,98922,0.00%
ACCIONA SA,ES0125220311        ,24,4378,0.00%
ADVANCED INFO SERVICES PUBLIC COMPANY LIMITED,TH0268010Z11        ,2294,31191,0.00%
AENA SME S.A.,ES0105046009        ,99,32688,0.00%
AEROPORTS DE PARIS (ADP),FR0010340141        ,43,8095,0.00%
ALLIANT ENERGY CORP,US0188021085        ,755,72102,0.00%
ALTAGAS INCOME LTD,CA0213611001        ,366,13749,0.00%
AMEREN CORP,US0236081024        ,726,104581,0.00%
AMERICAN ELECTRIC POWER COMPANY INC,US0255371017        ,1335,198830,0.00%
AMERICAN WATER WORKS CO INC,US0304201033        ,526,105734,0.00%
AMVIS HOLDINGS INC NPV,JP3128660002        ,17017,127317,0.00%
APOLLO HOSPITALS ENTERPRISE LTD,INE437A01024        ,19240,2648306,0.03%
AT & T INC,US00206R1023        ,171629,6311881,0.08%
ATMOS ENERGY CORP,US0495601058        ,430,96679,0.00%
ATTENDO AB PUBL,SE0007666110        ,6424,47894,0.00%
AUCKLAND INTERNATIONAL AIRPORT LTD,NZAIAE0002S6        ,2221,17483,0.00%
BCE INC,CA05534B7604        ,69,2582,0.00%
BHARTI AIRTEL LIMITED,INE397D01024        ,122965,3683185,0.04%
BKW AG,CH0130293662        ,21,5522,0.00%
BT GROUP PLC,GB0030913577        ,8545,24899,0.00%
CANADIAN UTILITIES LTD A,CA1367178326        ,131,5131,0.00%
CELLNEX TELECOM SA,ES0105066007        ,812,41417,0.00%
CEMIG CIA ENERGETICA DE MINAS GERAIS - SPONS ADR,US2044096012        ,51490,147196,0.00%
CENTERPOINT ENERGY INC,US15189T1079        ,1821,93338,0.00%
CENTRICA PLC,GB00B033F229        ,6809,18402,0.00%
CHARTWELL RETIREMENT RESIDENCES,CA16141A1030        ,546,9254,0.00%
CHENIERE ENERGY INC,US16411R2085        ,297,102963,0.00%
CHORUS LIMITED ORDINARY FULLY PAID,NZCNUE0001S2        ,1353531,10747035,0.13%
CHUBU ELECTRIC POWER CO INC,JP3526600006        ,807,13734,0.00%
CK INFRASTRUCTURE,BMG2178K1009        ,1104,13256,0.00%
CLP HOLDINGS LIMITED HKD,HK0002007356        ,2173,29509,0.00%
CMS ENERGY CORP,US1258961002        ,834,89735,0.00%
CONSOLIDATED EDISON INC COM,US2091151041        ,906,130499,0.00%
CONSTELLATION ENERGY CORP,US21037T1097        ,7802,2818828,0.03%
CONTACT ENERGY LIMITED,NZCENE0001S6        ,12727,105123,0.00%
CONVERGE INFORMATION AND COMMUNICATIONS TECHNOLOGY SOLUTIONS,PHY1757W1054        ,1027940,463244,0.01%
DEUTSCHE TELEKOM AG DEM,DE0005557508        ,6343,306465,0.00%
DOMINION ENERGY INC,US25746U1097        ,2122,184616,0.00%
DTE ENERGY CO USD,US2333311072        ,565,110110,0.00%
DUKE ENERGY CORP COM,US26441C2044        ,1864,324358,0.00%
E.ON SE,DE000ENAG999        ,2965,55758,0.00%
EDISON INTERNATIONAL,US2810201077        ,1018,131255,0.00%
ELIA GROUP SA/NV,BE0003822393        ,29,3572,0.00%
ELISA CORPORATION OYJ-A S,FI0009007884        ,178,12435,0.00%
EMERA INC,CA2908761018        ,379,22898,0.00%
ENBRIDGE INC,CA29250N1050        ,20099,1377304,0.02%
ENDESA SA,ES0130670112        ,397,13800,0.00%
ENEL SPA,IT0003128367        ,10741,123694,0.00%
ENERGIAS DE PORTUGAL SA,PTEDP0AM0009        ,4144,21423,0.00%
ENGIE,FR0010208488        ,2412,61758,0.00%
ENN ENERGY HOLDINGS LTD,KYG3066L1014        ,19259,223640,0.00%
ENTERGY CORP NEW,US29364G1031        ,1127,138028,0.00%
ESSENTIAL UTILITIES INC,US29670G1022        ,345,20237,0.00%
EVERGY INC COM NPV,US30034W1062        ,688,68406,0.00%
EVERSOURCE ENERGY COM,US30040W1080        ,984,91281,0.00%
EXELON CORPORATION,US30161N1019        ,2585,157123,0.00%
FIRSTENERGY CORP USD,US3379321074        ,1473,94661,0.00%
FORTIS HEALTHCARE LTD,INE061F01013        ,10805,146733,0.00%
FORTIS INC,CA3495531079        ,655,43968,0.00%
FORTUM  OYJ,FI0009007132        ,561,12684,0.00%
G8 EDUCATION ORD,AU000000GEM7        ,88363,115314,0.00%
GETLINK SE,FR0010533075        ,349,8986,0.00%
GLOBE TELECOM INC,PHY272571498        ,362,22076,0.00%
GRUPO AEROPORTUARIO DEL PACIFICO SA DE CV - ADR,US4005061019        ,278,78436,0.00%
HCA HEALTHCARE INC,US40412C1018        ,1479,717177,0.01%
HELIOS TOWERS PLC,GB00BJVQC708        ,6420,11882,0.00%
HKT TRUST AND HKT SHARE STAPLED UNIT,HK0000093390        ,4761,9503,0.00%
HONG KONG CHINA GAS,HK0003000038        ,14765,19065,0.00%
HUMANA AB,SE0008040653        ,7809,40695,0.00%
HYDRO ONE LTD,CA4488112083        ,435,21611,0.00%
IBERDROLA SA,ES0144580Y14        ,7984,177597,0.00%
IDP EDUCATION LTD,AU000000IEL5        ,60770,767526,0.01%
INFRASTRUTTURE WIR NPV,IT0005090300        ,420,6900,0.00%
INTERNATIONAL CONTAINER TERMINAL SERVICES INCOPORATED,PHY411571011        ,140870,1518257,0.02%
JIANGSU EXPRESS CO LTD,CNE1000003J5        ,22448,40047,0.00%
KANSAI ELECTRIC POWER JPY,JP3228600007        ,9274,167125,0.00%
KDDI CORP,JP3496400007        ,2029,105110,0.00%
KEIYO GAS ORD SHS,JP3281400006        ,1628,14808,0.00%
KEYERA CORP COM,CA4932711001        ,290,14306,0.00%
KINDER MORGAN INC,US49456B1017        ,4916,217553,0.00%
KONINKLIJKE KPN NV,NL0000009082        ,5136,30191,0.00%
KOREA ELECTRIC POWER CORPORATION,US5006311063        ,1175,13062,0.00%
KRISHNA INSTITUTE OF MEDICAL,INE967H01025        ,4042,45595,0.00%
MAX HEALTHCARE INSTITUTE LTD,INE027H01010        ,5445,115893,0.00%
MERCURY NZ LIMITED,NZMRPE0001S2        ,679,3592,0.00%
MITSUBISHI LOGISTICS NPV,JP3902000003        ,5024,59783,0.00%
NATIONAL GRID,GB00BDR05C01        ,6452,123988,0.00%
NEW ORIENTAL EDUCA,KYG6470A1168        ,12320,125390,0.00%
NEW ORIENTAL EDUCASPON ADS EA REP 10 ORD SHS,US6475812060        ,7210,747373,0.01%
NEXTERA ENERGY INC,US65339F1012        ,4884,565460,0.01%
NIPPON TEL AND TEL CP NPV,JP3735400008        ,192372,312364,0.00%
NISOURCE INC,US65473P1057        ,1310,77805,0.00%
NRG ENERGY INC,US6293775085        ,574,83594,0.00%
ONEOK INC,US6826801036        ,13809,2239291,0.03%
ORANGE SA,FR0000133308        ,3567,57430,0.00%
ORIGIN ENERGY LIMITED,AU000000ORG5        ,2394912,26104539,0.32%
OSAKA GAS CO LTD JPY,JP3180400008        ,462,16438,0.00%
PEARSON PLC ORD,GB0006776081        ,764,19810,0.00%
PEMBINA PIPELINE,CA7063271034        ,766,45679,0.00%
PENNON GROUP ORD GBP0.6105,GB00BNNTLN49        ,1635,19624,0.00%
PG AND E CORP,US69331C1080        ,5351,174390,0.00%
PINNACLE WEST CAPITAL,US7234841010        ,209,28645,0.00%
PLDT INC,PHY7072Q1032        ,990,35791,0.00%
PLDT INC ADR EACH REP 1 ORD SHS,US69344D4088        ,4215,150800,0.00%
POWER ASSETS HOLDINGS LIMITED,HK0006000050        ,1828,20605,0.00%
PPL CORPORATION,US69351T1060        ,1996,104650,0.00%
PUBLIC SERVICE ENTERPRISE GROUP INC,US7445731067        ,1263,172374,0.00%
QINGDAO PORT INTERNATIONAL CO LTD,CNE100001SG2        ,24792,32990,0.00%
QUBE HOLDINGS LIMITED,AU000000QUB5        ,3661772,14537237,0.18%
QUEBECOR INC CLASS B SUB VTG NPV,CA7481932084        ,152,5370,0.00%
RAMSAY HEALTH CARE,AU000000RHC8        ,33020,1140512,0.01%
RED ELECTRICA DE ES,ES0173093024        ,508,14006,0.00%
ROGERS COMMUNICATIONS INC-B,CA7751092007        ,870,43195,0.00%
SEMBCORP INDUSTRIES LIMITED,SG1R50925390        ,869,5682,0.00%
SEMPRA ORD,US8168511090        ,1572,222647,0.00%
SEVERN TRENT PLC,GB00B1FH8J72        ,357,18100,0.00%
SHENZHEN EXPRESSWAY COMPANY LIMITED,CNE100000478        ,15048,22903,0.00%
SINGAPORE TELECOMM NPV B/L 100,SG1T75931496        ,853205,3111216,0.04%
SINOPEC KANTONS HOLDINGS LTD,BMG8165U1009        ,82887,84446,0.00%
SNAM SPA,IT0003153415        ,2663,19048,0.00%
SOFTBANK CORP,JP3732000009        ,37776,77217,0.00%
SOFTBANK GROUP CORP,JP3436100006        ,3943,372217,0.00%
SOUTHERN CO COM USD,US8425871071        ,2626,349129,0.00%
SPARK NEW ZEALAND LIMITED ORDINARY FULLY PAID,NZTELE0001S4        ,29246,78671,0.00%
SPIRE HEALTHCARE GROUP PLC,GB00BNLPYF73        ,3055,13965,0.00%
SSE PLC,GB0007908733        ,1458,47311,0.00%
STARHUB LTD,SG1V12936232        ,12865,18429,0.00%
SWISSCOM AG,CH0008742519        ,34,30770,0.00%
T MOBILE US INC COM,US8725901040        ,7096,2529860,0.03%
TARGA RESOURCES IN COM,US87612G1013        ,7413,2137083,0.03%
TC ENERGY CORP,CA87807B1076        ,1373,103295,0.00%
TELE2 AB,SE0005190238        ,671,10717,0.00%
TELECOM ITALIA SPA,IT0003497168        ,9720,4009,0.00%
TELEFONICA SA,ES0178430E18        ,5241,34512,0.00%
TELENOR ASA,NO0010063308        ,788,14215,0.00%
TELIA COMPANY AB,SE0000667925        ,2951,13229,0.00%
TELSTRA CORPORATION LIMITED,AU000000TLS2        ,8842983,35460360,0.43%
TERNA SPA,IT0003242622        ,1858,23679,0.00%
TIM S.A. COM NPV,BRTIMSACNOR5        ,38002,143861,0.00%
TIM S.A. SPON ADS EACH REP 5 ORD SHS,US88706T1088        ,1352,25672,0.00%
TOKYO ELECTRIC POWER COMPANY HOLDINGS INCORPORATED,JP3585800000        ,1911,9330,0.00%
TOKYO GAS CO LTD,JP3573000001        ,448,20141,0.00%
TORRENT POWER LTD,INE813H01021        ,23060,646440,0.01%
TPG TELECOM LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000090128        ,35934,161342,0.00%
TRANSURBAN GROUP ORDINARY SHARES UNITS STAPLED SECURITIES,AU000000TCL6        ,2226759,29816302,0.36%
TRUE CORPORATION THB4 NVDR,THB231010R11        ,597706,314285,0.00%
TUAS LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000089724        ,17971,114295,0.00%
UNITED UTILITIES GROUP PLC,GB00B39J2M42        ,900,19153,0.00%
UNIVERSAL HEALTH SERVICES - CLASS B,US9139031002        ,1719,498242,0.01%
VEOLIA ENVIRONMENT,FR0000124141        ,929,42130,0.00%
VERBUND AG,AT0000746409        ,85,9968,0.00%
VERIZON COMMUNICATIONS,US92343V1044        ,12243,790744,0.01%
VODAFONE GROUP ORD,GB00BH4HKS39        ,41290,57045,0.00%
WEC ENERGY GROUP INC,US92939U1060        ,834,126614,0.00%
WILLIAMS COMPANIES INC,US9694571004        ,2979,260403,0.00%
XCEL ENERGY INC,US98389B1008        ,1440,157005,0.00%
TOTAL,,,161568011,1.96%
UNLISTED INFRASTRUCTURE,,,,
Held directly or by associated entities or by PSTs,,,,
Internally managed,,,,
Name/Kind of investment item,,% OWNERSHIP ,VALUE (AUD),WEIGHTING (%)
ADELAIDE AIRPORT,,50.50%,,
ICG AUSTRALIAN RENEWABLE INCOME FUND,,2.80%,,
ICG ENERGY INFRASTRUCTURE TRUST,,23.30%,,
THE INFRASTRUCTURE FUND,,9.30%,,
I SQUARED CAPITAL GLOBAL INFRASTRUCTURE FUND I,,1.60%,,
IFM AUSTRALIAN INFRASTRUCTURE FUND,,1.00%,,
IFM GLOBAL INFRASTRUCTURE FUND,,0.60%,,
AIRPORT MOTORWAY - EASTERN DISTRIBUTOR SYDNEY,,10.50%,,
PALISADE AUSTRALIAN SOCIAL INFRASTRUCTURE FUND,,10.30%,,
PALISADE DIVERSIFIED INFRASTRUCTURE FUND,,11.20%,,
VICTORIAN COMPREHENSIVE CANCER CENTRE,,49.00%,,
SYDNEY AIRPORT,,15.00%,,
TASMANIAN FOREST TRUST,,66.60%,,
AQUASURE HOLDINGS,,35.10%,,
TOTAL,,,504084251,6.12%
UNLISTED INFRASTRUCTURE,,,,
Investment in non-associated entities,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,VALUE (AUD),WEIGHTING (%)
FIRST SENTIER INVESTORS (AUSTRALIA) IM LIMITED,,,62062155,0.74%
MANULIFE INVESTMENT MANAGEMENT,,,47427967,0.58%
MACQUARIE ASSET MANAGEMENT,,,17748489,0.22%
TOTAL,,,127238611,1.54%
LISTED ALTERNATIVES,,,,
Name/kind of investment item,SECURITY IDENTIFIER ,UNITS HELD,VALUE (AUD),WEIGHTING %
TOTAL,,,,
UNLISTED ALTERNATIVES,,,,
Held directly or by associated entities or by PSTs,,,,
Internally managed,,,,
Name/kind of investment item,,,VALUE (AUD),WEIGHTING %
FIDERA DISTRESSED ASSET FUND,,0.00%,,
TOTAL,,,11874398,0.14%
UNLISTED ALTERNATIVES,,,,
Investments in non-associated entities,,,,
Held directly or by associated entities or PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,VALUE (AUD),WEIGHTING %
TOTAL,,,,
TOTAL INVESTMENT ITEMS,,,8295703797,100.73%
TABLE 2,,,,
DERIVATIVES BY KIND OF DERIVATIVE,,,,
Portfolio Holdings Information for Conservative Balanced - Assets,,,,
Kind of Derivative,,,VALUE (AUD),WEIGHTING %
Swaps,,,-4627446,-0.06%
Forwards,,,-48002884,-0.58%
Futures,,,-6070525,-0.07%
Options,,,-1257290,-0.02%
Other,,,192,0.00%
TOTAL,,,-59957953,-0.73%
TABLE 3,,,,
DERIVATIVES BY ASSET CLASS,,,,
Portfolio Holdings Information for Conservative Balanced - Assets,,,,
Asset Class,,,Actual asset allocation (% of total assets (including derivatives) in the investment option),Effect of derivative exposure (% of total assets ( including derivatives) on the investment option)
Cash,,,15%,-9%
Fixed Income,,,24%,6%
Equities,,,41%,4%
Property,,,10%,0%
Infrastructure,,,10%,0%
Alternatives,,,0%,0%
TOTAL,,,100%,1%
TABLE 4,,,,
DERIVATIVES BY CURRENCY,,,,
Portfolio Holdings Information for Conservative Balanced - Assets,,,,
Currency exposure,,,Actual currency exposure (% of total assets and  derivatives under management) ,Effect of derivatives exposure (% of assets and derivatives under management )
AUD,,,82%,6%
USD,,,13%,-3%
Currencies of other developed markets,,,3%,-2%
Currencies of emerging markets,,,2%,0%
,,,,
,,,,
INVESTMENT OPTION NAME,Balanced,,,
REPORTING DATE,31/12/2024,,,
PORTFOLIO HOLDINGS INFORMATION,,,,
Schedule 8D,,,,
TABLE 1,,,,
ASSETS,,,,
Portfolio Holdings Information for Balanced - Assets,,,,
CASH,,,,
NAME OF INSTITUTION,,CURRENCY,VALUE (AUD),WEIGHTING (%)
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,,AUD,9288,0.00%
BNP PARIBAS SA (AUSTRALIA),,AUD,4663490322,8.83%
BNP PARIBAS SA (AUSTRALIA),,BRL,64450,0.00%
BNP PARIBAS SA (AUSTRALIA),,CAD,7564296,0.01%
BNP PARIBAS SA (AUSTRALIA),,CHF,324696,0.00%
BNP PARIBAS SA (AUSTRALIA),,CLP,417,0.00%
BNP PARIBAS SA (AUSTRALIA),,CNY,1088,0.00%
BNP PARIBAS SA (AUSTRALIA),,DKK,1503851,0.00%
BNP PARIBAS SA (AUSTRALIA),,EUR,4091457,0.01%
BNP PARIBAS SA (AUSTRALIA),,GBP,7616463,0.01%
BNP PARIBAS SA (AUSTRALIA),,HKD,1259592,0.00%
BNP PARIBAS SA (AUSTRALIA),,HUF,23276,0.00%
BNP PARIBAS SA (AUSTRALIA),,ILS,62046,0.00%
BNP PARIBAS SA (AUSTRALIA),,INR,768084,0.00%
BNP PARIBAS SA (AUSTRALIA),,JPY,8248811,0.02%
BNP PARIBAS SA (AUSTRALIA),,KRW,1062,0.00%
BNP PARIBAS SA (AUSTRALIA),,MXN,165,0.00%
