Table 1 – Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Assets,,,,
,,,Value (AUD),Weighting (%)
NOK Corp,7240 JP,"16,320","415,273",0.00%
Nokia Oyj,NOK US,"1,026,046","7,341,332",0.02%
Nokia Oyj,NOKIA FH,"1,555,157","11,117,667",0.03%
Nomura Holdings Inc,8604 JP,"501,533","4,800,114",0.01%
Nomura Research Institute Ltd,4307 JP,"15,781","755,604",0.00%
Nordea Bank Abp,NDA FH,289,"5,078",0.00%
Norfolk Southern Corp,NSC US,"2,585","979,700",0.00%
Northern Star Resources Ltd,NST AU,"2,228,482","34,407,760",0.08%
Northern Trust Corp,NTRS US,"34,869","5,772,496",0.01%
Northland Power Inc,NPI CN,"64,707","1,300,744",0.00%
Northwest Natural Holding Co,NWN US,402,"25,709",0.00%
Northwestern Energy Group Inc,NWE US,749,"64,628",0.00%
NOV Inc,NOV US,"596,709","14,070,831",0.03%
Nova Ltd,NVMI US,"31,346","9,971,090",0.02%
Novartis AG,NOVN SW,"213,354","33,727,226",0.08%
Novo Nordisk A/S,NOVOB DC,"290,299","40,639,181",0.10%
Novonesis (Novozymes) B,NSISB DC,"5,663","517,811",0.00%
Novonix Ltd,NVX AU,"90,285","66,359",0.00%
NRG Energy Inc,NRG US,"36,511","5,320,302",0.01%
NRW Holdings Ltd,NWH AU,"2,680,593","10,293,475",0.02%
NU Holdings Ltd/Cayman Islands,NU US,"1,059,631","17,730,401",0.04%
Nucor Corp,NUE US,"9,545","1,799,220",0.00%
Nufarm Ltd,NUF AU,"60,534","214,291",0.00%
Nuix Ltd,NXL AU,"37,051","234,165",0.00%
Nutanix Inc,NTNX US,"29,632","2,928,065",0.01%
Nutrien Ltd,NTR US,"65,902","4,763,179",0.01%
Nutrien Ltd,NTR CN,"1,705","123,166",0.00%
NVIDIA Corp,NVDA US,"1,548,065","335,766,145",0.79%
NVR Inc,NVR US,550,"7,260,769",0.02%
NXP Semiconductors NV,NXPI US,"7,728","2,594,359",0.01%
Obic Co Ltd,4684 JP,"48,533","2,340,716",0.01%
Occidental Petroleum Corp,OXY US,"95,162","7,594,210",0.02%
OFX Group Ltd,OFX AU,"51,731","73,199",0.00%
OGE Energy Corp,OGE US,"2,330","155,249",0.00%
Okinawa Electric Power Co Inc/The,9511 JP,554,"5,470",0.00%
Okta Inc,OKTA US,"9,702","1,234,840",0.00%
Old Dominion Freight Line Inc,ODFL US,"2,447","697,234",0.00%
Ollie's Bargain Outlet Holdings Inc,OLLI US,"43,347","7,682,326",0.02%
Olympus Corp,7733 JP,"20,708","504,475",0.00%
Omni Bridgeway Ltd,OBL AU,"2,098,780","3,043,231",0.01%
OMV AG,OMV AV,"8,904","556,029",0.00%
ON Semiconductor Corp,ON US,"28,006","2,851,920",0.01%
ONE Gas Inc,OGS US,681,"76,187",0.00%
ONEOK Inc,OKE US,"68,345","11,082,707",0.03%
oOh!media Ltd,OML AU,"6,613,281","7,803,672",0.02%
OPAP SA,OPAP GA,"11,137","292,427",0.00%
Open House Group Co Ltd,3288 JP,"17,321","948,584",0.00%
Open Lending Corp,LPRO US,"259,037","2,497,698",0.01%
Open Text Corp,OTEX CN,"28,961","1,323,066",0.00%
Opthea Ltd,OPT AU,"169,511","137,304",0.00%
Ora Banda Mining Ltd,OBM AU,"3,405,250","2,213,412",0.01%
Oracle Corp,ORCL US,"215,926","58,114,980",0.14%
Oracle Corp Japan,4716 JP,"3,541","551,520",0.00%
Oracle Financial Services Software Ltd,OFSS IN,"2,510","605,502",0.00%
O'Reilly Automotive Inc,ORLY US,"6,355","12,170,770",0.03%
Orica Ltd,ORI AU,"3,132,036","51,929,164",0.12%
Orient Overseas International Ltd,316 HK,"19,430","465,002",0.00%
Origin Energy Ltd,ORG AU,"9,425,734","102,740,499",0.24%
Orion Corp/Republic of Korea,271560 KS,370,"41,512",0.00%
Orion Oyj,ORNBV FH,"16,219","1,160,444",0.00%
ORIX Corp,8591 JP,"17,454","611,307",0.00%
Orkla ASA,ORK NO,"125,073","1,749,297",0.00%
ORLEN SA,PKN PW,"31,518","581,684",0.00%
Orora Ltd,ORA AU,"4,242,487","10,436,519",0.02%
Osaka Gas Co Ltd,9532 JP,"4,436","157,719",0.00%
Otis Worldwide Corp,OTIS US,"7,623","1,140,172",0.00%
OTP Bank Nyrt,OTP HB,"9,409","829,737",0.00%
Otsuka Corp,4768 JP,"6,842","253,769",0.00%
Oversea-Chinese Banking Corp Ltd,OCBC SP,"401,027","7,924,217",0.02%
Ovintiv Inc,OVV US,"98,338","6,432,528",0.02%
Owens Corning,OC US,"23,245","6,394,409",0.02%
PACCAR Inc,PCAR US,"75,580","12,697,827",0.03%
Packaging Corp of America,PKG US,"4,263","1,550,044",0.00%
Paladin Energy Ltd,PDN AU,"19,160","144,848",0.00%
Palantir Technologies Inc,PLTR US,"61,580","7,522,134",0.02%
Palo Alto Networks Inc,PANW US,"25,220","7,411,799",0.02%
Pan American Silver Corp,PAAS CN,"83,197","2,716,976",0.01%
Panasonic Holdings Corp,6752 JP,"26,328","444,540",0.00%
Parker-Hannifin Corp,PH US,"1,889","1,940,625",0.00%
Patanjali Foods Ltd,PATANJAL IN,"200,183","6,729,493",0.02%
Patriot Battery Metals Inc,PMT AU,"384,249","155,621",0.00%
Paychex Inc,PAYX US,"17,329","3,924,590",0.01%
Paylocity Holding Corp,PCTY US,"32,293","10,403,722",0.02%
PayPal Holdings Inc,PYPL US,"65,234","8,992,565",0.02%
PB Fintech Ltd,POLICYBZ IN,"66,700","2,653,570",0.01%
PDD Holdings Inc,PDD US,"189,905","29,748,703",0.07%
Pegasus Hava Tasimaciligi AS,PGSUS TI,"34,966","340,179",0.00%
Pegatron Corp,4938 TT,"29,948","135,587",0.00%
Pembina Pipeline Corp,PPL CN,"6,722","400,935",0.00%
Pennon Group PLC,PNN LN,"2,905","34,878",0.00%
Pentair PLC,PNR US,"12,431","2,020,593",0.00%
People's Insurance Co Group of China Ltd/The,1339 HK,"1,126,237","906,230",0.00%
PepsiCo Inc,PEP US,"36,030","8,848,674",0.02%
Perenti Ltd,PRN AU,"160,102","223,343",0.00%
Perpetual Ltd,PPT AU,"17,953","357,077",0.00%
Perseus Mining Ltd,PRU AU,"3,250,564","8,353,948",0.02%
Persistent Systems Ltd,PSYS IN,"70,571","8,597,364",0.02%
Persol Holdings Co Ltd,2181 JP,"114,573","278,469",0.00%
PetroChina Co Ltd,857 HK,"4,624,827","5,875,359",0.01%
Petroleo Brasileiro SA,PBR US,"934,789","19,415,953",0.05%
Petroleo Brasileiro SA,PETR3 BZ,"41,760","430,263",0.00%
Petroleo Brasileiro SA,PETR4 BZ,"25,655","242,730",0.00%
Petronas Gas Bhd,PTG MK,"95,278","608,453",0.00%
Petronet LNG Ltd,PLNG IN,"76,828","501,774",0.00%
Pfizer Inc,PFE US,"239,537","10,263,944",0.02%
PG&E Corp,PCG US,"24,754","806,793",0.00%
Phillips 66,PSX US,"3,286","604,578",0.00%
Phoenix Group Holdings PLC,PHNX LN,"108,956","1,124,009",0.00%
PICC Property & Casualty Co Ltd,2328 HK,"581,301","1,481,799",0.00%
Piedmont Lithium Inc,PLL AU,"5,385,163","780,849",0.00%
Pilbara Minerals Ltd,PLS AU,"23,507,666","51,481,788",0.12%
Ping An Bank Co Ltd,000001 C2,"177,442","459,376",0.00%
Ping An Insurance Group Co of China Ltd,2318 HK,"755,666","7,235,316",0.02%
Pinnacle Investment Management Group Ltd,PNI AU,"827,791","18,915,035",0.04%
Pinnacle West Capital Corp,PNW US,"1,296","177,414",0.00%
Pinterest Inc,PINS US,"35,341","1,655,297",0.00%
Piraeus Financial Holdings SA,TPEIR GA,"137,785","887,191",0.00%
Pirelli & C SpA,PIRC IM,"244,696","2,240,195",0.01%
Platinum Asset Management Ltd,PTM AU,"98,469","67,943",0.00%
PLDT Inc,TEL PM,"7,229","261,372",0.00%
PNC Financial Services Group Inc/The,PNC US,"11,106","3,459,276",0.01%
PolyNovo Ltd,PNV AU,"117,058","238,799",0.00%
Pop Mart International Group Ltd,9992 HK,"197,215","3,676,098",0.01%
Popular Inc,BPOP US,"3,819","580,181",0.00%
Porsche Automobil Holding SE,PAH3 GR,"23,179","1,409,142",0.00%
Portland General Electric Co,POR US,"1,168","82,252",0.00%
POSCO Holdings Inc,005490 KS,803,"223,306",0.00%
Poste Italiane SpA,PST IM,"68,010","1,549,186",0.00%
Power Assets Holdings Ltd,6 HK,"170,574","1,922,246",0.00%
Power Corp of Canada,POW CN,"84,862","4,273,325",0.01%
Power Finance Corp Ltd,POWF IN,"405,610","3,431,874",0.01%
Power Grid Corp of India Ltd,PWGR IN,"1,949,419","11,352,783",0.03%
Powszechna Kasa Oszczednosci Bank Polski SA,PKO PW,"77,093","1,801,422",0.00%
Powszechny Zaklad Ubezpieczen SA,PZU PW,"91,771","1,644,898",0.00%
PPB Group Bhd,PEP MK,"97,150","435,128",0.00%
PPL Corp,PPL US,"46,233","2,423,833",0.01%
Predictive Discovery Ltd,PDI AU,"427,631","98,355",0.00%
Premier Investments Ltd,PMV AU,"515,668","16,568,407",0.04%
President Chain Store Corp,2912 TT,"397,374","5,148,617",0.01%
Primerica Inc,PRI US,"1,481","649,287",0.00%
Principal Financial Group Inc,PFG US,"37,167","4,646,804",0.01%
PRIO SA/Brazil,PRIO3 BZ,"132,467","1,390,460",0.00%
Pro Medicus Ltd,PME AU,"68,485","17,129,350",0.04%
Progress Software Corp,PRGS US,"5,429","571,237",0.00%
Progressive Corp/The,PGR US,"14,325","5,543,629",0.01%
Propel Funeral Partners Ltd,PFP AU,"2,051,828","12,044,229",0.03%
Prosus NV,PRX NA,"43,245","2,773,669",0.01%
Prudential Financial Inc,PRU US,"6,825","1,306,502",0.00%
Prysmian SpA,PRY IM,"40,351","4,161,137",0.01%
Public Bank Bhd,PBK MK,"548,580","903,557",0.00%
Public Service Enterprise Group Inc,PEG US,"5,751","784,811",0.00%
Publicis Groupe SA,PUB FP,"85,111","14,661,392",0.03%
PulteGroup Inc,PHM US,"45,804","8,056,277",0.02%
Pure Storage Inc,PSTG US,"10,510","1,042,793",0.00%
PVH Corp,PVH US,"64,434","11,005,266",0.03%
PWR Holdings Ltd,PWH AU,"17,233","135,454",0.00%
Q2 Holdings Inc,QTWO US,"48,907","7,950,400",0.02%
Qantas Airways Ltd,QAN AU,"7,212,218","64,693,599",0.15%
QBE Insurance Group Ltd,QBE AU,"8,090,034","155,328,649",0.37%
QIAGEN NV,QIAD S1,"4,240","305,250",0.00%
Qifu Technology Inc,QFIN US,"14,740","913,730",0.00%
Qorvo Inc,QRVO US,"32,656","3,688,366",0.01%
QUALCOMM Inc,QCOM US,"69,444","17,230,159",0.04%
Quanta Computer Inc,2382 TT,"62,355","881,633",0.00%
Quanta Services Inc,PWR US,"2,684","1,369,849",0.00%
Qube Holdings Ltd,QUB AU,"7,035,637","27,931,477",0.07%
Quest Diagnostics Inc,DGX US,267,"65,087",0.00%
Radian Group Inc,RDN US,"14,665","751,307",0.00%
RAI Way SpA,RWAY IM,"1,059","9,741",0.00%
Raia Drogasil SA,RADL3 BZ,"998,460","5,742,751",0.01%
Rakus Co Ltd,3923 JP,"235,975","4,505,814",0.01%
Ramelius Resources Ltd,RMS AU,"1,691,656","3,501,728",0.01%
Ramsay Health Care Ltd,RHC AU,"1,018,047","35,163,354",0.08%
Randstad NV,RAND NA,"242,406","16,504,342",0.04%
Raymond James Financial Inc,RJF US,"23,232","5,828,405",0.01%
RB Global Inc,RBA CN,"4,379","638,087",0.00%
RBC Bearings Inc,RBC US,"24,174","11,679,793",0.03%
REA Group Ltd,REA AU,"212,283","49,527,804",0.12%
Realindex Global Share Fund,N/A,"536,353,312","845,131,902",1.99%
Reckitt Benckiser Group PLC,RKT LN,"169,481","16,568,612",0.04%
Recruit Holdings Co Ltd,6098 JP,"110,616","12,669,464",0.03%
Redeia Corp SA,RED SM,"28,333","781,863",0.00%
Redox Ltd/Australia,RDX AU,"34,152","155,732",0.00%
Reece Ltd,REH AU,"205,952","4,609,195",0.01%
Regeneron Pharmaceuticals Inc,REGN US,"8,801","10,125,621",0.02%
Regions Financial Corp,RF US,"49,123","1,866,049",0.00%
Regis Healthcare Ltd,REG AU,"352,352","2,114,111",0.00%
Regis Resources Ltd,RRL AU,"1,526,754","3,893,222",0.01%
Reinsurance Group of America Inc,RGA US,"3,535","1,219,702",0.00%
Reliance Inc,RS US,"8,297","3,608,274",0.01%
Reliance Industries Ltd,RELIANCE IN,"174,087","3,991,755",0.01%
Reliance Worldwide Corp Ltd,RWC AU,"4,569,545","22,939,115",0.05%
RELX PLC,REL LN,"299,633","21,994,983",0.05%
RELX PLC,REN NA,854,"62,408",0.00%
REN - Redes Energeticas Nacionais SGPS SA,RENE PL,"4,975","18,970",0.00%
RenaissanceRe Holdings Ltd,RNR US,"28,771","11,561,892",0.03%
Repsol SA,REP SM,"58,733","1,148,286",0.00%
Republic Services Inc,RSG US,"10,689","3,473,145",0.01%
ResMed Inc,RMD AU,"5,157,784","189,651,727",0.45%
ResMed Inc,RMD US,"2,379","878,608",0.00%
Resolute Mining Ltd,RSG AU,"397,800","157,131",0.00%
Resona Holdings Inc,8308 JP,"299,380","3,521,286",0.01%
Resonac Holdings Corp,4004 JP,"27,174","1,121,264",0.00%
Rexel SA,RXL FP,"350,717","14,429,319",0.03%
Rheinmetall AG,RHM GR,"12,550","12,899,506",0.03%
Richter Gedeon Nyrt,RICHT HB,"21,128","893,356",0.00%
Ridley Corp Ltd,RIC AU,"3,627,529","9,794,328",0.02%
Rincon Resources Ltd,RCR AU,"1,373,166",0,0.00%
Rio Tinto Ltd,RIO AU,"1,527,863","179,462,761",0.42%
Rio Tinto PLC,RIO LN,"96,868","9,254,332",0.02%
Rivian Automotive Inc,RIVN US,"471,558","10,129,575",0.02%
Robinhood Markets Inc,HOOD US,"51,467","3,097,271",0.01%
ROBLOX Corp,RBLX US,"244,540","22,852,474",0.05%
Roche Holding AG,ROG SW,"99,763","45,427,347",0.11%
Roche Holding AG,RO SW,"2,405","1,159,827",0.00%
ROCKWOOL A/S,ROCKB DC,"1,416","810,698",0.00%
Roku Inc,ROKU US,394,"47,347",0.00%
Rollins Inc,ROL US,"32,956","2,467,087",0.01%
Rolls-Royce Holdings PLC,RR/ LN,"756,799","8,704,313",0.02%
Roper Technologies Inc,ROP US,"2,835","2,380,506",0.01%
Ross Stores Inc,ROST US,"4,534","1,107,635",0.00%
Royal Bank of Canada,RY CN,"23,883","4,648,542",0.01%
Royalty Pharma PLC,RPRX US,"31,577","1,301,023",0.00%
RPM International Inc,RPM US,"4,576","909,463",0.00%
RPMGlobal Holdings Ltd,RUL AU,"29,815","90,934",0.00%
RTX Corp,RTX US,"39,984","7,473,085",0.02%
RWE AG,RWE GR,"204,815","9,875,534",0.02%
S&P Global Inc,SPGI US,"118,213","95,087,747",0.22%
Saab AB,SAABB SS,"7,325","250,221",0.00%
Safran SA,SAF FP,"61,417","21,786,387",0.05%
Saia Inc,SAIA US,"12,747","9,382,207",0.02%
Saibu Gas Holdings Co Ltd,9536 JP,238,"4,230",0.00%
Saipem SpA,SPM IM,"132,757","557,075",0.00%
Salesforce Inc,CRM US,"96,914","52,331,870",0.12%
Salmar ASA,SALM NO,"8,898","683,957",0.00%
Samsara Inc,IOT US,"319,637","22,554,984",0.05%
Samsonite International SA,1910 HK,727,"3,266",0.00%
Samsung C&T Corp,028260 KS,"11,944","1,504,322",0.00%
Samsung E&A Co Ltd,028050 KS,"42,623","773,921",0.00%
Samsung Electronics Co Ltd,005930 KS,"257,115","15,006,891",0.04%
Samsung Electronics Co Ltd,SMSN LI,"4,716","6,931,192",0.02%
Samsung Electronics Co Ltd,005935 KS,"254,201","12,326,850",0.03%
Samsung Fire & Marine Insurance Co Ltd,000810 KS,1,298,0.00%
Samsung SDS Co Ltd,018260 KS,"3,307","463,695",0.00%
Sandfire Resources Ltd,SFR AU,"3,287,184","30,505,064",0.07%
Sangamo Therapeutics Inc,SGMO US,"149,552","246,374",0.00%
Sankyo Co Ltd,6417 JP,"218,011","4,767,738",0.01%
Sanlam Ltd,SLM SJ,"267,078","1,986,047",0.00%
Sanofi SA,SAN FP,"266,972","41,854,766",0.10%
Santander Bank Polska SA,SPL PW,"5,639","1,008,951",0.00%
Santen Pharmaceutical Co Ltd,4536 JP,"61,123","1,016,672",0.00%
Santos Ltd,STO AU,"16,606,351","110,930,425",0.26%
Sanwa Holdings Corp,5929 JP,"151,576","6,857,144",0.02%
SAP SE,SAP GR,"48,320","19,096,178",0.05%
Sappi Ltd,SAP SJ,"4,548","19,177",0.00%
Sartorius AG,SRT3 GR,250,"89,969",0.00%
Saudi Arabian Oil Co,ARAMCO AB,"372,530","4,491,696",0.01%
Saudi Awwal Bank,SABB AB,"100,196","1,449,287",0.00%
Saudi Basic Industries Corp,SABIC AB,"4,872","140,318",0.00%
Sayona Mining Ltd,SYA AU,"31,019,467","837,526",0.00%
SBI Holdings Inc,8473 JP,"37,413","1,531,035",0.00%
SBI Life Insurance Co Ltd,SBILIFE IN,"63,538","1,666,612",0.00%
SCB X PCL,SCB/F TB,"99,269","552,541",0.00%
Schlumberger NV,SLB US,182,"11,256",0.00%
Schneider Electric SE,SU FP,"109,936","44,292,493",0.10%
Schroders PLC,SDR LN,"110,175","721,171",0.00%
SCOR SE,SCR FP,"217,146","8,585,256",0.02%
SCREEN Holdings Co Ltd,7735 JP,"36,489","3,558,706",0.01%
Sea Ltd,SE US,"230,545","39,507,150",0.09%
Seagate Technology Holdings PLC,STX US,"5,570","776,514",0.00%
SEB SA,SK FP,"3,541","518,210",0.00%
Secom Co Ltd,9735 JP,"65,032","3,588,265",0.01%
Securitas AB,SECUB SS,"47,658","953,689",0.00%
SEEK Ltd,SEK AU,"2,440,470","55,081,418",0.13%
Sega Sammy Holdings Inc,6460 JP,"24,480","773,857",0.00%
SEI Investments Co,SEIC US,"16,337","2,176,329",0.01%
Seiko Epson Corp,6724 JP,"23,789","703,008",0.00%
Select Harvests Ltd,SHV AU,"70,886","301,266",0.00%
Sempra,SRE US,"22,201","3,145,402",0.01%
Sendas Distribuidora S/A,ASAIY US,"615,741","4,445,391",0.01%
Sendas Distribuidora S/A,ASAI3 BZ,"262,791","386,800",0.00%
Sensata Technologies Holding PLC,ST US,924,"40,892",0.00%
Service Stream Ltd,SSM AU,"1,474,999","2,300,999",0.01%
ServiceNow Inc,NOW US,"10,749","18,404,611",0.04%
SES SA,SESG FP,"3,947","20,186",0.00%
Severn Trent PLC,SVT LN,"3,068","155,626",0.00%
SGH Ltd,SGH AU,"1,386,614","63,936,787",0.15%
SGS SA,SGSN SW,"8,826","1,429,499",0.00%
Shanghai Commercial & Savings Bank Ltd/The,5876 TT,"535,790","1,045,263",0.00%
Shell PLC,SHEL LN,"88,616","4,438,207",0.01%
Shell PLC,SHELLA S4,"503,495","25,359,000",0.06%
Shenwan Hongyuan Group Co Ltd,000166 C2,"46,651","55,225",0.00%
Shenzhen Mindray Bio-Medical Electronics Co Ltd,300760 C2,"9,315","525,578",0.00%
Sherwin-Williams Co/The,SHW US,"5,919","3,249,742",0.01%
Shift4 Payments Inc,FOUR US,"92,375","15,483,659",0.04%
Shikoku Electric Power Co Inc,9507 JP,"1,822","23,112",0.00%
Shimamura Co Ltd,8227 JP,"15,396","1,394,603",0.00%
Shimano Inc,7309 JP,"6,466","1,421,470",0.00%
Shin-Etsu Chemical Co Ltd,4063 JP,"440,499","23,974,827",0.06%
Shinhan Financial Group Co Ltd,SHG US,"83,940","4,457,662",0.01%
Shinhan Financial Group Co Ltd,055550 KS,"221,800","11,595,129",0.03%
Shionogi & Co Ltd,4507 JP,"113,167","2,580,714",0.01%
Shizuoka Gas Co Ltd,9543 JP,713,"7,839",0.00%
Shopify Inc,SHOP CN,"36,815","6,325,139",0.01%
Shopify Inc,SHOP US,"206,141","35,401,780",0.08%
Sichuan Chuantou Energy Co Ltd,600674 C1,"45,111","172,186",0.00%
Siemens AG,SIE GR,"53,108","16,747,992",0.04%
Siemens Energy AG,ENR GR,"124,989","10,531,333",0.02%
Sigma Healthcare Ltd,SIG AU,"6,933,088","18,164,690",0.04%
Signify NV,LIGHT NA,"1,193","43,046",0.00%
Sika AG,SIKA SW,"19,751","7,596,198",0.02%
Silergy Corp,6415 TT,"377,978","7,513,564",0.02%
Silex Systems Ltd,SLX AU,"40,302","203,525",0.00%
Sims Ltd,SGM AU,"1,154,140","13,711,188",0.03%
Singapore Airlines Ltd,SIA SP,"231,329","1,763,770",0.00%
Singapore Exchange Ltd,SGX SP,"48,113","725,706",0.00%
Singapore Technologies Engineering Ltd,STE SP,"235,255","1,297,928",0.00%
Singapore Telecommunications Ltd,ST SP,"3,492,215","12,734,379",0.03%
Sinotruk Hong Kong Ltd,3808 HK,"105,849","501,788",0.00%
Sirius XM Holdings Inc,SIRI US,"25,273","930,669",0.00%
SITC International Holdings Co Ltd,1308 HK,"100,846","434,035",0.00%
SiteMinder Ltd,SDR AU,"1,929,483","11,654,076",0.03%
SJW Group,SJW US,385,"30,601",0.00%
SK Hynix Inc,000660 KS,"17,510","3,340,738",0.01%
SK Telecom Co Ltd,017670 KS,"6,358","385,038",0.00%
Skandinaviska Enskilda Banken AB,SEBA SS,"38,872","860,547",0.00%
SKF AB,SKFB SS,"28,623","868,594",0.00%
SKY Network Television Ltd,SKT NZ,"6,838","16,088",0.00%
SKYCITY Entertainment Group Ltd,SKC AU,"89,312","116,998",0.00%
Skyworks Solutions Inc,SWKS US,"52,751","7,555,518",0.02%
SmartGroup Corp Ltd,SIQ AU,"1,737,238","13,498,340",0.03%
SMC Corp,6273 JP,"2,466","1,576,125",0.00%
Smith Douglas Homes Corp,SDHC US,"62,941","2,606,508",0.01%
SMS Co Ltd,2175 JP,"278,441","4,501,163",0.01%
Smurfit WestRock PLC,SW US,"8,109","705,382",0.00%
Snam SpA,SRG IM,"27,774","198,667",0.00%
Snap-on Inc,SNA US,"9,797","5,371,923",0.01%
Snowflake Inc,SNOW US,"4,684","1,168,222",0.00%
Societe Generale SA,GLE FP,"298,098","13,540,755",0.03%
SoftBank Corp,9434 JP,"889,743","1,818,701",0.00%
Softcat PLC,SCT LN,"84,539","2,606,076",0.01%
Solventum Corp,SOLV US,"2,276","242,791",0.00%
Sompo Holdings Inc,8630 JP,"67,541","2,859,052",0.01%
Sonic Healthcare Ltd,SHL AU,"1,422,646","38,425,672",0.09%
Sonova Holding AG,SOON SW,"3,620","1,911,825",0.00%
Sony Group Corp,6758 JP,"505,522","17,502,631",0.04%
South Bow Corp,SOBO CN,"2,351","89,550",0.00%
South32 Ltd,S32 AU,"26,356,214","89,611,129",0.21%
Southern Copper Corp,SCCO US,"1,306","192,279",0.00%
Southern Cross Media Group Ltd,SXL AU,"3,823,540","2,294,124",0.01%
Southern Cross Payments Ltd,SP1 AU,"141,856","151,786",0.00%
Spark New Zealand Ltd,SPK AU,"958,754","2,579,047",0.01%
Spartan Resources Ltd/Australia,SPR AU,"5,198,705","7,330,174",0.02%
Spire Inc,SR US,662,"72,542",0.00%
Spotify Technology SA,SPOT US,"55,776","40,302,173",0.10%
SRG Global Ltd,SRG AU,"4,194,491","5,809,369",0.01%
SS&C Technologies Holdings Inc,SSNC US,"171,865","21,035,136",0.05%
St James's Place PLC,STJ LN,"651,301","11,435,321",0.03%
Standard Bank Group Ltd,SBK SJ,"209,297","3,972,642",0.01%
Stanmore Resources Ltd,SMR AU,"928,183","2,793,831",0.01%
Stantec Inc,STN CN,95,"12,079",0.00%
Star Entertainment Grp Ltd/The,SGR AU,"430,615","81,817",0.00%
Starbucks Corp,SBUX US,"25,150","3,706,564",0.01%
State Bank of India,SBIN IN,"647,872","9,716,051",0.02%
State Street Corp,STT US,"38,261","6,065,320",0.01%
Steadfast Group Ltd,SDF AU,"4,918,956","28,529,945",0.07%
Steel Dynamics Inc,STLD US,"8,542","1,573,720",0.00%
Stellantis NV,STLAM IM,"190,435","4,009,834",0.01%
Stifel Financial Corp,SF US,"1,600","274,074",0.00%
STMicroelectronics NV,STMPA FP,"135,459","5,499,494",0.01%
Straumann Holding AG,STMN SW,"9,761","1,987,545",0.00%
Strike Energy Ltd,STX AU,"1,532,194","321,761",0.00%
Stryker Corp,SYK US,"10,889","6,332,210",0.01%
Subaru Corp,7270 JP,"95,729","2,775,303",0.01%
Sugi Holdings Co Ltd,7649 JP,"221,968","5,628,719",0.01%
Sumitomo Chemical Co Ltd,4005 JP,"205,771","738,026",0.00%
Sumitomo Corp,8053 JP,"50,500","1,779,066",0.00%
Sumitomo Electric Industries Ltd,5802 JP,"60,276","1,767,613",0.00%
Sumitomo Forestry Co Ltd,1911 JP,"11,855","644,989",0.00%
Sumitomo Mitsui Financial Group Inc,8316 JP,"181,982","7,039,456",0.02%
Sun Life Financial Inc,SLF CN,"96,759","9,274,306",0.02%
Sun Pharmaceutical Industries Ltd,SUNP IN,"257,753","9,172,488",0.02%
Suncor Energy Inc,SU CN,"20,707","1,193,187",0.00%
Suncorp Group Ltd,SUN AU,"3,932,228","74,751,646",0.18%
Sunway Bhd,SWB MK,"14,179","24,531",0.00%
Super Retail Group Ltd,SUL AU,"237,227","3,601,109",0.01%
Superloop Ltd,SLC AU,"3,050,852","6,681,366",0.02%
Suzano SA,SUZ US,"297,223","4,858,113",0.01%
Suzuken Co Ltd/Aichi Japan,9987 JP,"7,394","359,942",0.00%
Swire Pacific Ltd,19 HK,"45,034","659,660",0.00%
Swisscom AG,SCMN SW,"1,142","1,027,156",0.00%
Swissquote Group Holding SA,SQN SW,668,"414,420",0.00%
Symal Group Ltd,SYL AU,"1,774,276","3,016,269",0.01%
Symbotic Inc,SYM US,"157,659","6,037,474",0.01%
Symrise AG,SY1 GR,"1,013","173,922",0.00%
Synchrony Financial,SYF US,"113,209","11,884,964",0.03%
Syngene International Ltd,SYNG IN,"148,415","2,403,551",0.01%
Synopsys Inc,SNPS US,"4,508","3,533,903",0.01%
Syrah Resources Ltd,SYR AU,"112,149","22,991",0.00%
Sysco Corp,SYY US,"150,758","18,617,331",0.04%
T Rowe Price Group Inc,TROW US,"33,810","6,175,556",0.01%
Tabcorp Holdings Ltd,TAH AU,"18,686,184","10,557,694",0.02%
Taiwan Mobile Co Ltd,3045 TT,"29,781","166,522",0.00%
Taiwan Semiconductor Manufacturing Co Ltd,TSM US,"287,361","91,659,448",0.22%
Taiwan Semiconductor Manufacturing Co Ltd,2330 TT,"1,325,417","70,193,453",0.17%
Takara Holdings Inc,2531 JP,"75,442","1,050,541",0.00%
Takeda Pharmaceutical Co Ltd,4502 JP,"3,530","151,689",0.00%
Take-Two Interactive Software Inc,TTWO US,123,"36,714",0.00%
Targa Resources Corp,TRGP US,"53,700","15,481,615",0.04%
Target Corp,TGT US,"14,117","3,082,151",0.01%
TasFoods Ltd,TFL AU,"39,360,504","669,129",0.00%
Tata Consultancy Services Ltd,TCS IN,"99,909","7,717,887",0.02%
Tata Elxsi Ltd,TELX IN,913,"117,063",0.00%
Taylor Wimpey PLC,TW/ LN,"414,875","1,024,662",0.00%
TC Energy Corp,TRP CN,"12,042","905,906",0.00%
TDK Corp,6762 JP,"367,586","7,829,165",0.02%
TE Connectivity PLC,TEL US,"38,483","8,886,192",0.02%
Tech Mahindra Ltd,TECHM IN,"15,385","495,206",0.00%
Technology One Ltd,TNE AU,"1,597,856","50,028,874",0.12%
Teck Resources Ltd,TECK/B CN,"12,325","806,643",0.00%
Teleflex Inc,TFX US,"1,579","453,865",0.00%
Telefonaktiebolaget LM Ericsson,ERICB SS,"433,005","5,688,884",0.01%
Telefonica Brasil SA,VIV US,"1,843","22,472",0.00%
